smiles,RF_homo,XGB_homo,RF_lumo,XGB_lumo,RF_gap,XGB_gap,score,rank
O=S1(=O)CCCC1.O[PH](O)=S,-7.753149999999983,-6.9392776,0.49816466666666553,0.65247005,8.220031333333331,8.433749,1.2994871669468586,51
COC(=O)OCP(=O)(O)O,-7.614403333333313,-7.2967424,0.6149349999999983,0.46952716,8.373546666666673,8.492756,1.2992579686954855,52
P(=O)(CC)(OCC)OCC,-7.532234999999991,-7.181539,0.3105466666666665,0.60479546,8.118686666666687,8.719621,1.2978966838506119,53
O[PH](O)=S.c1cnccn1,-7.565598999999986,-7.132822,0.6603516666666644,0.48774996,8.114145857142859,8.534714,1.2972240095403555,54
COS(=O)(=O)OC.O=[PH](F)F,-7.810586666666649,-6.7981453,0.729254666666665,0.20990606,8.649810000000018,8.079251,1.295376572223622,55
CP(=O)(O)O.c1ccncc1,-7.395205999999979,-7.1844287,0.7239733333333319,0.6472921,8.00862000000001,8.373029,1.295074358889203,56
BC.O=C1CCCN1,-7.623225333333329,-7.2112603,0.38735733333333316,0.56570727,8.149141999999987,8.700688,1.2877529145605071,57
O=C1NCCC1P(=O)(O)O,-7.463809999999989,-7.376051,0.60353738095238,0.54999036,8.15623,8.545778,1.2874516730808554,58
O[PH](O)=S.c1ccncc1,-7.627278333333319,-7.331538,0.6656316666666656,0.5180405,8.166443000000003,8.593346,1.285686070095637,59
CCOC(=O)OC.CP(=O)(O)O,-7.646814333333317,-7.3238316,0.5514883333333318,0.52730775,8.299486333333329,8.540566,1.284233084131115,60
C1CCOC1.CP(=O)(O)O,-7.300770999999968,-7.075787,0.46737333333333236,0.41566315,7.978926666666666,8.550054,1.281767815460623,61
CCOC(=O)OC(C)P(=O)(O)O,-7.691291666666664,-7.8216767,0.5312833333333322,0.8209854,8.33483666666666,8.691402,1.281142867252667,62
O=[PH](O)O.c1ccoc1,-7.5539579999999855,-7.173742,0.5954366666666662,0.48291802,8.180205333333337,8.456134,1.2798660661486343,63
O=[PH](O)O.c1ccncc1,-7.496853999999983,-7.1742473,0.6745266666666659,0.4777582,8.107379000000009,8.430905,1.279834408537583,64
C1CCSC1.O=[PH](O)O,-7.382644999999978,-6.995268,0.5933306666666659,0.5650353,7.89473833333333,8.41425,1.2788657037632647,65
CP(=O)(O)O.c1ccsc1,-7.475257666666651,-7.062462,0.7886866666666646,0.56932795,8.169666666666672,8.103184,1.2776143472184534,66
CCOC(=O)OCC.O=[PH](O)O,-7.7482423333333195,-6.9304323,0.3968033333333327,0.501383,8.112108333333337,8.607877,1.2769237752361966,67
O=C1CCCN1.O[PH](O)=S,-7.4635799999999834,-6.9730244,0.509458333333332,0.4130755,8.119981666666666,8.396436,1.276172901615463,68
O[PH](O)=S.c1cc[nH]c1,-7.65502833333332,-7.431802,0.7478683333333319,0.52287585,8.171770000000002,8.570406,1.2760222994375252,69
CN(C)[PH](=N)N(C)C.O=S1(=O)CCC1,-7.79349599999998,-7.125593,0.42385533333333264,0.31960267,8.284266666666673,8.720425,1.2745935861823448,70
O=[PH](O)O.c1cnccn1,-7.5054219999999825,-7.062709,0.6260266666666651,0.50220424,8.04155952380953,8.409016,1.274130043569397,71
COCCOCP(=O)(O)O,-7.482014999999983,-7.7408743,0.5425476666666659,0.7562093,8.294715000000004,8.5184965,1.2740224561838183,72
