smiles,RF_homo,RF_lumo,RF_gap,norm_homo,norm_lumo,norm_gap,score,rank,has_B,has_P,MW
C1COCCO1.O=P(O)(O)OP(=O)(O)O,-7.774899999999985,0.7132599999999962,8.452380000000018,0.5602881257275607,0.6638151641441803,0.8565886004514471,0.7098664271421011,31,0,1,266.07899999999995
C1COCCO1.O=P(O)(O)OP(=O)(O)O,-7.774899999999985,0.7132599999999962,8.452380000000018,0.5602881257275607,0.6638151641441803,0.8565886004514471,0.7098664271421011,32,0,1,266.07899999999995
O=P(O)(O)OP(=O)(O)O.OP(O)(O)=S,-7.909839999999972,0.8883599999999948,8.187300000000006,0.6584691501745841,0.770502790572977,0.7007618510157805,0.7089963226305804,33,0,1,292.035
O[PH](O)=S.c1ccoc1,-7.93173999999999,0.8248199999999979,8.212320000000005,0.6744033760186028,0.7317881601715751,0.7154698081263895,0.7080453841076091,34,0,1,166.13799999999998
FC(F)(F)C(F)(F)S(F)(F)F.O=[PH](O)O,-7.58423999999998,0.8912999999999954,8.471599999999992,0.42156577415595997,0.7722941190806911,0.867887039127127,0.7053127836218461,35,0,1,290.068
COS(=O)(=O)OC.O=P(O)(O)OP(=O)(O)O,-7.589399999999978,0.8640999999999945,8.487340000000005,0.4253201396972859,0.7557212839072851,0.877139766741883,0.7051683337781245,36,0,1,304.106
CCOC(=O)OC.O[PH](O)=S,-7.87123999999999,0.7953199999999961,8.279160000000003,0.6303841676367625,0.7138139455533586,0.7547615688487337,0.7051640614965298,37,0,1,202.168
O=P(OC(F)(F)F)(OC(F)(F)F)OC(F)(F)F,-8.095439999999995,0.47153999999999907,8.320759999999977,0.7935098952269897,0.516536277448757,0.7792160458991315,0.7047002701623766,38,0,1,301.98499999999996
O[PH](O)=S.c1ccc2nc3ccccc3nc2c1,-7.945039999999993,0.7647799999999976,8.227820000000001,0.684080325960398,0.6952060637079256,0.7245814522196898,0.703618497788373,39,0,1,278.273
FC(F)(F)C(F)(F)F.O[PH](O)=S,-8.005099999999981,0.7604399999999968,8.171839999999996,0.7277793946449069,0.6925617216251096,0.6916737208427133,0.7027718232180903,40,0,1,236.07300000000004
CCOC(=O)OC.OP(O)(O)=S,-7.818119999999995,0.8157799999999968,8.299279999999998,0.5917345750872895,0.7262801296580603,0.766589070729844,0.7020400397155425,41,0,1,218.167
O=P(O)(O)OP(=O)(O)O.c1ccccc1,-7.861299999999994,0.7653199999999962,8.296140000000001,0.6231519208381622,0.6955350832297497,0.7647432279909445,0.7015033924167513,42,0,1,256.08700000000005
O=P(O)(O)OP(=O)(O)O.c1ccccc1,-7.861299999999994,0.7653199999999962,8.296140000000001,0.6231519208381622,0.6955350832297497,0.7647432279909445,0.7015033924167513,43,0,1,256.08700000000005
COS(=O)(=O)OC.O[PH](O)=S,-7.621399999999988,0.9055199999999954,8.409120000000014,0.4486030267752916,0.7809582998220818,0.8311582957110399,0.701331716263628,44,0,1,224.196
O=P(O)(O)O.O=P([O-])(F)F,-7.713799999999966,0.9684799999999951,8.270980000000009,0.5158323632129944,0.8193195388852288,0.7499529721594973,0.7005267594932658,45,0,1,198.96199999999996
COS(=O)(=O)OC.O=[PH](O)O,-7.531879999999975,0.9343399999999955,8.464700000000013,0.38346915017458283,0.7985181935609621,0.8638308878856051,0.7001285582749055,46,0,1,208.128
O=P(O)(O)OP(=O)(O)O.OB(O)O,-8.000719999999982,0.7556799999999962,8.166540000000014,0.7245925494761059,0.6896614754697634,0.68855812641082,0.6996994580480889,47,1,1,239.80600000000004
[Li][O]P(=O)(O)OP(=O)(O)O,-7.883079999999973,0.7517799999999962,8.276420000000021,0.6389988358556096,0.6872852233676943,0.753150865312251,0.6991455638918915,48,0,1,183.90599999999998
CC1COC(=O)O1.O[PH](O)=S,-7.781259999999992,0.8053399999999978,8.326120000000007,0.5649155995343182,0.7199190855694451,0.7823669112114136,0.6983971700156943,49,0,1,200.152
BB(BOP(=O)(O)O)OP(=O)(O)O.c1ccc2sccc2c1,-7.7246199999999945,0.7453199999999971,8.424699999999984,0.5237048894062637,0.6833491750140109,0.8403169676448057,0.6982430063840047,50,1,1,363.63500000000005
O=S1(=O)OCCCO1.O[PH](O)=S,-7.834359999999995,0.710539999999998,8.349320000000034,0.6035506402793729,0.6621578806268409,0.7960049849510833,0.6981145502522974,51,0,1,236.20700000000002
