smiles,RF_homo,XGB_homo,RF_lumo,XGB_lumo,RF_gap,XGB_gap,score,rank
OBO.c1ccc2ncccc2c1,-7.7467149999999965,-7.3675013,0.12953333333333295,0.043107573,7.899816666666673,8.414149,1.021556887319825,667
C[PH](C)=O.c1cnccn1,-7.66706066666665,-7.1479197,0.3168300000000001,0.27894226,7.960209666666664,7.810981,1.0213568830440858,668
C1CCCCCC1.O[PH](O)=S,-7.611990999999996,-7.445818,0.546123333333332,0.573486,7.761230999999985,7.798417,1.0211996717403387,669
CCOP(=O)(OCC)C1CCNC1=O,-7.5705846666666545,-7.275112,0.23160633333333389,0.68673337,7.6970739999999935,7.8538074,1.0210727218120579,670
O=S1(=P)CCCC1,-7.552838333333313,-6.7707877,0.2759166666666666,0.33469743,7.890686666666654,7.4990506,1.020995663194975,671
COC(=O)OC.C[P+](C)C,-7.806785999999983,-7.1090617,0.09519766666666661,0.30096668,7.871871999999987,8.122324,1.0208866922830584,672
N#CCCCC#N.O=[PH](Cl)Cl,-7.530414999999981,-7.049689,0.3783199999999995,0.32153288,7.738686666666652,7.7757587,1.0208514408748948,673
CP(=O)(O)O.FC(F)(F)C(F)(F)C(F)(F)F,-7.577910999999976,-8.460776,0.5639949999999986,0.61785305,8.057297499999981,8.18817,1.020567694072342,674
C[PH](C)=O.c1cc[nH]c1,-7.670417333333314,-7.2730722,0.3597533333333336,0.20974591,8.039263000000004,7.842277,1.0202094606547392,675
COC(=O)OC.CP(C)C,-7.808825999999984,-7.1090617,0.09192766666666664,0.2975528,7.874631999999987,8.122324,1.0201301094082837,676
N#CCOCCOC(C#N)P(=O)(F)F,-7.85028866666666,-7.9141626,0.28838500000000056,0.3527498,8.178699999999983,8.264253,1.0200930563694937,677
CCOP(=O)(OCC)OC(C)B(F)F,-7.782340000000005,-7.7715325,0.10165433333333299,0.2536259,8.169608666666646,8.329182,1.0199692221618926,678
COB(COC(=O)CC(C)=O)OC,-7.657064333333326,-8.167127,0.22306166666666677,0.19591549,7.792039999999971,8.860213,1.0196685811663584,679
OB(O)c1ccncc1,-7.871557333333312,-8.037426,0.2999657142857142,0.35579902,8.071501333333314,8.466654,1.0196482422495796,680
CCC(=O)OC.C[PH](C)=O,-7.691535333333332,-7.2101974,0.27641666666666703,0.12132468,7.9523829999999895,8.021295,1.019136803564476,681
O=[PH](F)F.O=c1occo1,-7.725013999999978,-7.2506657,0.06629466666666649,0.075754054,8.009670000000007,8.210763,1.0190419539027027,682
Bc1ccccc1.O=S1(=O)CCCC1,-7.806343666666651,-7.1788516,0.16321466666666665,0.08192102,7.931428333333329,8.217462,1.0187690459961352,683
Bc1ccccc1.O=C1OCC(F)(F)O1,-7.76087266666666,-7.7050056,0.258444333333334,0.659461,7.910587666666646,8.093533,1.0186281021352102,684
O=C1CCC(B(O)O)O1,-7.626546666666662,-7.4874806,0.22500971428571478,-0.0902744,7.769400333333325,8.558187,1.0186235738098328,685
O=C1OCC(C(F)(F)F)O1.O=P(O)(O)OP(=O)(O)O,-7.7852083333333155,-8.003809,0.4594866666666654,0.47047693,8.028977666666648,8.207354,1.0184081942401244,686
C1CCOC1.C[P+](C)C,-7.658479999999982,-7.2078075,0.17255000000000012,0.16725038,7.963471666666646,8.023051,1.0183315115676708,687
CC1(C)OBOC1(C)C.OB(O)O,-7.815144999999987,-7.762191,0.09384166666666664,0.19961375,8.111846666666665,8.441436,1.0180744357932432,688
FB(F)c1ccncc1,-7.720916999999994,-8.001191,0.23553238095238097,0.67536885,7.820269333333328,8.378025,1.0179778407320939,689
