smiles,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
C1CCCCC1.OB(O)O,7.166666666666667,7.166666666666667,1.5,-2.166666666666667,0.43011129765048545,17.1,145.995,130.87499999999997,146.11142474,60,0,0.6306456328238041,-0.4018195480003625,0.6306456328238041,0.4018195480003625,0.6,0.7,0.8,16.526033102730292,10.012000000000008,1.9504196511690686,-2.0523059727891155,2.147130471518315,-2.0667319542586924,6.301848313480522,0.27795637735995515,1.903041554861844,1.7999999666250003e-07,49.74860596185443,7.819990956308912,6.161631742808786,6.161631742808786,4.732050807568877,3.7745966692414825,3.7745966692414825,2.467730505073417,2.467730505073417,1.4999999999999996,1.4999999999999996,1.0606601717798207,1.0606601717798207,-0.05506493506493516,152.2433243889475,9.944935064935065,7.056730174987915,10.842576632687877,61.87416996727557,15.07206772519801,0.0,0.0,0.0,0.0,7.3212123586851945,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,15.07206772519801,7.3212123586851945,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3932800838832,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,60.69,7.3212123586851945,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,15.07206772519801,0.0,0.0,0.0,21.5,0.0,0.0,0.0,9.0,0.0,-2.166666666666667,1.0,10,3,3,1,0,1,0,0,0,0,0,0,3,3,4,0,0,1,0,1,0,0,7.017872336102267,1,0.2887999999999998,40.1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1OBO1.C1CCCCC1,4.5,4.5,0.5,0.5,0.4649923769382059,22.4,139.8,125.68799999999997,140.117990488,56,0,0.409631670693676,-0.45841012791196245,0.45841012791196245,0.409631670693676,0.6,0.8,0.9,16.681601480759998,10.011999999999999,2.0234840881010636,-2.069941064986191,2.147165720378748,-2.2296903452726724,6.494577339411357,0.3464316131238463,1.8782420829427542,1.0833333142361112e-07,56.63829283796701,7.071067811865477,6.473350830420108,6.473350830420108,5.0,4.1547005383792515,4.1547005383792515,2.7652708944190207,2.7652708944190207,1.833333333333333,1.833333333333333,1.143993505113154,1.143993505113154,0.04987012987012968,187.82420829427542,8.149373903259978,5.8062963133136405,3.961231354518209,63.89941652096815,9.143706628501286,0.0,0.0,0.0,0.0,15.370306942097555,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,9.143706628501286,15.370306942097555,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.370306942097555,9.143706628501286,0.0,38.524929737556064,0.0,0.0,0.0,0.0,18.46,0.0,0.0,0.0,0.0,15.370306942097555,0.0,38.524929737556064,0.0,0.0,9.143706628501286,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,10,0,2,1,1,2,0,0,0,0,0,0,2,0,4,1,0,1,1,2,0,0,4.731767965031279,2,0.9067999999999999,44.17000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1CCCCC1.OBO,7.125,7.125,0.75,-0.75,0.470519927472079,17.555555555555557,129.996,114.87599999999998,130.11651012000002,54,0,0.43207855527278805,-0.4299027986101273,0.43207855527278805,0.4299027986101273,0.6666666666666666,0.7777777777777778,0.8888888888888888,16.360467045869125,10.012,1.9497291116720052,-2.052305972789115,2.1471165877543887,-1.8549000000000013,6.130929571583534,0.4478751464043001,1.934454570802277,1.866666617555557e-07,34.8127439131334,6.949747468305834,5.844174659305748,5.844174659305748,4.414213562373095,3.6324555320336755,3.6324555320336755,2.2627416997969516,2.2627416997969516,1.4999999999999996,1.4999999999999996,1.0606601717798207,1.0606601717798207,-0.015064935064935156,116.06727424813661,8.984935064935067,7.984935064935068,7.984935064935069,57.20952691204014,10.048045150132006,0.0,0.0,0.0,0.0,7.685153471048777,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,10.048045150132006,7.685153471048777,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.733198621180783,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,40.46,7.685153471048777,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,10.048045150132006,0.0,0.0,0.0,14.25,0.0,0.0,0.0,9.0,0.0,-0.75,1.0,9,2,2,1,0,1,0,0,0,0,0,0,2,2,3,0,0,1,0,1,0,0,7.971569228462741,1,0.5780999999999998,39.2886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1CCCCC1.FBF,9.625,9.625,1.5,-1.75,0.446223245049297,17.555555555555557,133.978,120.874,134.107837256,54,0,0.5209343294036364,-0.29099342678327694,0.5209343294036364,0.29099342678327694,0.6666666666666666,0.7777777777777778,0.8888888888888888,19.236408273776195,10.011999999999995,1.9497395085447156,-2.0523059727891138,2.147127376288986,-1.8549000000000009,6.150698802820699,0.5039999999999998,1.934454570802277,1.866666617555557e-07,34.8127439131334,6.949747468305834,5.7056764143242855,5.7056764143242855,4.414213562373095,3.534522483824848,3.534522483824848,2.222335598014863,2.222335598014863,1.4999999999999996,1.4999999999999996,1.0606601717798207,1.0606601717798207,-0.07506493506493517,116.06727424813661,8.924935064935065,7.924935064935066,7.924935064935064,55.980778082749396,0.0,0.0,0.0,0.0,0.0,7.833722024429326,8.631317787192485,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,8.631317787192485,7.833722024429326,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,8.631317787192485,0.0,0.0,7.833722024429326,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,7.833722024429326,8.631317787192485,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,19.25,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-1.75,1.0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,7.858836760930269,1,2.532500000000001,37.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1OCCO1.C1CCCCC1,4.722222222222222,4.722222222222222,0.5,0.5,0.49605479213082865,23.272727272727273,156.034,138.89799999999997,156.13216018399999,64,0,0.43769101851824654,-0.411634211728445,0.43769101851824654,0.411634211728445,0.6363636363636364,1.0,1.1818181818181819,16.621929934666838,10.012000000000004,1.9775958931961044,-2.0523059727891164,2.1471918450892398,-1.8548999999999995,6.181453062567215,0.36498623644491457,2.644529013373629,1.1183333168700001e-07,61.04182793626707,7.778174593052025,7.180457611606656,7.180457611606656,5.5,4.6547005383792515,4.6547005383792515,3.0556680546851256,3.0556680546851256,2.0386751345948126,2.0386751345948126,1.3552879972742156,1.3552879972742156,-0.015064935064935156,687.5775434771435,9.075968830186177,6.6800566012807785,5.275857225959585,69.57220294192585,9.308716268050691,0.0,0.0,0.0,0.0,7.685153471048777,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,13.213763929025836,9.308716268050691,7.685153471048777,0.0,0.0,0.0,38.524929737556064,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.898917400074613,9.308716268050691,0.0,38.524929737556064,0.0,0.0,0.0,0.0,18.46,0.0,0.0,0.0,0.0,7.685153471048777,13.213763929025836,38.524929737556064,0.0,0.0,0.0,9.308716268050691,9.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.5555555555555556,0.5,1.0,11,0,2,1,1,2,0,0,0,0,0,0,2,0,3,1,0,1,1,2,0,0,5.511635045191251,2,1.6402999999999999,46.755000000000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1CCCCC1.F[B-](F)F,9.666666666666666,9.666666666666666,1.5,-3.666666666666667,0.46708872769428267,18.0,151.968,139.87199999999999,152.09896402391,61,1,0.4137587507804041,-0.4712529169268013,0.4712529169268013,0.4137587507804041,0.6,0.7,0.8,19.351320229024633,10.01200000000001,1.9498032274881618,-2.052305972789118,2.147167506282451,-1.854899999999997,6.328847701184532,0.5040000000000013,1.903041554861844,1.7999999666250003e-07,49.74860596185443,7.819990956308912,5.9538843753365915,5.9538843753365915,4.732050807568877,3.6546536707079773,3.6546536707079773,2.368756173212338,2.368756173212338,1.4999999999999996,1.4999999999999996,1.0606601717798207,1.0606601717798207,-0.14506493506493517,152.2433243889475,9.854935064935065,6.967866440791216,10.767258107836833,60.03104672333946,12.946976680788726,0.0,0.0,0.0,0.0,7.544065188756019,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,12.946976680788726,7.544065188756019,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,12.946976680788726,0.0,0.0,7.544065188756019,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,7.544065188756019,12.946976680788726,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-3.666666666666667,1.0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,6.866787131513765,1,3.2204000000000024,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1CCCCC1.CCOB(OCC)OCC,5.078333333333333,5.078333333333333,0.47222222222222276,-0.47222222222222276,0.6540789067819353,15.1875,230.15699999999998,202.94099999999995,230.20532512399998,96,0,0.6388845626000994,-0.38617934117722463,0.6388845626000994,0.38617934117722463,0.625,0.875,1.0625,16.731237753485072,10.011999999999997,2.1726917819677443,-2.0931542028971224,2.1473172990402474,-2.2652216881733755,6.358065562442291,0.10683478847049009,2.3311716952837997,3.149999895650004e-07,103.65784284662087,12.0626316434282,11.166056171260143,11.166056171260143,7.846065214951232,6.694452528530627,6.694452528530627,3.7760208819388934,3.7760208819388934,2.4082482904638627,2.4082482904638627,1.6132460295410898,1.6132460295410898,-0.05506493506493516,3776.4981463597555,15.944935064935065,13.01184736637064,10.462324452086031,101.0217570855878,13.963074402076037,0.0,0.0,0.0,0.0,7.3212123586851945,0.0,0.0,0.0,0.0,38.524929737556064,20.771211599071872,19.820645893538753,0.0,13.963074402076037,7.3212123586851945,0.0,0.0,0.0,59.296141336627926,19.820645893538753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.14185825222395,13.963074402076037,0.0,59.296141336627926,0.0,0.0,0.0,0.0,27.69,7.3212123586851945,0.0,0.0,0.0,19.820645893538753,0.0,38.524929737556064,0.0,20.771211599071872,0.0,13.963074402076037,15.235,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.570555555555555,-0.47222222222222276,1.0,16,0,3,1,0,1,0,0,0,0,0,0,3,0,4,0,6,1,0,1,0,0,12.967066333226636,1,3.421400000000002,68.33400000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1CCCCC1.O=[PH](O)O,8.74074074074074,8.74074074074074,1.5,-3.1296296296296293,0.5382806229286062,17.9,166.157,151.03699999999998,166.07588097,62,0,0.31350981150851437,-0.32649507402013533,0.32649507402013533,0.31350981150851437,0.8,0.9,1.0,31.139145462827745,10.012,1.9497566857268538,-2.052305972789114,2.1472196947532662,-1.8548999999999993,7.304290442200441,0.4049132929361118,1.903041554861844,1.7999999671250004e-07,75.48394345536404,7.819990956308912,6.0453161685830645,7.0453161685830645,4.732050807568877,3.6513377407318894,4.954013222195668,2.4038945293946976,2.9690429010648076,1.4999999999999996,1.4999999999999996,1.0606601717798207,1.0606601717798207,0.14999999999999997,152.2433243889475,10.15,7.259289617486338,11.015886707647566,62.0304744410566,9.78682320550495,0.0,0.0,0.0,0.0,8.254871228598537,4.565048284931329,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,14.351871490436281,8.254871228598537,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254871228598537,9.78682320550495,4.565048284931329,0.0,38.524929737556064,0.0,0.0,0.0,0.0,57.53,8.254871228598537,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,14.351871490436281,8.74074074074074,0.0,14.314814814814815,0.0,0.0,0.0,0.0,9.0,0.0,-3.1296296296296293,1.0,10,2,3,1,0,1,0,0,0,0,0,0,1,2,4,0,0,1,0,1,0,0,7.368178961748633,1,1.7013000000000003,41.14110000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1CCCCC1.CP(=O)(O)O,9.32638888888889,9.32638888888889,0.8541666666666667,-3.6388888888888893,0.5612584679127924,18.454545454545453,180.184,163.04799999999997,180.09153103399998,68,0,0.3220163369068825,-0.3246140003873127,0.3246140003873127,0.3220163369068825,0.9090909090909091,1.0,1.0909090909090908,31.190741480673587,10.012000000000002,1.9557433192710014,-2.0523059727891177,2.2624474433208515,-1.8549000000000009,7.503542604567148,0.3810388687700324,1.8782420829427542,1.8666666397194445e-07,105.87293833762624,8.742640687119286,6.992529764083023,7.886956955082939,5.0,4.029787781335013,6.089363344005038,2.956636564680235,4.627269006921418,1.4999999999999996,1.4999999999999996,1.0606601717798207,1.0606601717798207,0.14999999999999997,187.82420829427542,11.150000000000002,5.756462429507698,17.82506114085531,67.98031163494908,9.78682320550495,0.0,0.0,0.0,0.0,7.595762326787885,4.565048284931329,0.0,0.0,0.0,38.524929737556064,0.0,6.664825604232536,0.0,14.351871490436281,7.595762326787885,0.0,0.0,0.0,38.524929737556064,6.664825604232536,0.0,0.0,0.0,0.0,0.0,0.0,7.595762326787885,16.451648809737485,4.565048284931329,0.0,38.524929737556064,0.0,0.0,0.0,0.0,57.53,7.595762326787885,4.565048284931329,0.0,0.0,0.0,6.664825604232536,38.524929737556064,0.0,0.0,0.0,9.78682320550495,9.32638888888889,0.0,15.26388888888889,0.0,0.0,0.0,0.0,9.0,0.8541666666666667,-3.6388888888888893,1.0,11,2,3,1,0,1,0,0,0,0,0,0,1,2,4,0,0,1,0,1,0,0,5.834959644455531,1,2.134500000000001,45.67010000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1CCCCC1.O=P(O)(O)O,8.881944444444445,8.881944444444445,1.5,-4.638888888888889,0.49477555543094287,18.454545454545453,182.156,167.03599999999997,182.07079559,68,0,0.46647404666265296,-0.30276308220727643,0.46647404666265296,0.30276308220727643,0.7272727272727273,0.8181818181818182,0.9090909090909091,31.204228825330915,10.011999999999997,1.9978645966167066,-2.0523059727891177,2.2536590556956297,-1.8549000000000013,7.447137917543,0.27513709103598205,1.8782420829427542,1.8666666397194445e-07,106.769535289866,8.742640687119286,6.439743359582981,7.334170550582897,5.0,3.7825741858350557,5.347722557505166,2.634597475137935,3.66115173829452,1.4999999999999996,1.4999999999999996,1.0606601717798207,1.0606601717798207,0.10999999999999996,187.82420829427542,11.110000000000001,5.7213645832552,17.81190800946102,66.49627353087571,14.680234808257424,0.0,0.0,0.0,0.0,7.822697123132171,0.0,4.565048284931329,0.0,0.0,38.524929737556064,0.0,0.0,0.0,19.245283093188757,7.822697123132171,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.822697123132171,14.680234808257424,4.565048284931329,0.0,38.524929737556064,0.0,0.0,0.0,0.0,77.76,7.822697123132171,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,19.245283093188757,8.881944444444445,0.0,21.5625,0.0,0.0,0.0,0.0,9.0,0.0,-4.638888888888889,1.0,11,3,4,1,0,1,0,0,0,0,0,0,1,3,5,0,0,1,0,1,0,0,5.778578229087753,1,1.4119999999999995,41.96490000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
